airportCode,airportName,cityCode,cityName,countryName,countryCode
ORG,Zorg En Hoop,ORG,Paramaribo,Suriname,SR
ORH,Worcester Regional Arpt.,ORH,Worcester,United States,US
ORI,Port Lions SPB,ORI,Port Lions,United States,US
ORJ,Orinduik,ORJ,Orinduik,Guyana,GY
ORK,Cork,ORK,Cork,Ireland,IE
ORL,Orlando Executive,ORL,Orlando,United States,US
ORL,All Airports,ORL,Orlando,United States,US
ORM,Northampton,ORM,Northampton,United Kingdom,GB
ORN,Es Senia,ORN,Oran,Algeria,DZ
ORO,Yoro,ORO,Yoro,Honduras,HN
ORP,Orapa,ORP,Orapa,Botswana,BW
ORQ,Heliport,ORQ,Norwalk,United States,US
ORR,Yorketown,ORR,Yorketown,Australia,AU
ORS,Waterport,ORS,Orpheus Island Resort,Australia,AU
ORT,Northway,ORT,Northway,United States,US
ORU,Oruro,ORU,Oruro,Bolivia,BO
ORV,Curtis Memorial,ORV,Noorvik,United States,US
ORW,Ormara,ORW,Ormara,Pakistan,PK
ORX,Oriximina,ORX,Oriximina,Brazil,BR
ORY,Orly,PAR,Paris,France,FR
ORZ,Orange Walk,ORZ,Orange Walk,Belize,BZ
OSA,Osaka Metropolitan Area,OSA,Osaka,Japan,JP
OSA,All Airports,OSA,Osaka,Japan,JP
OSB,Osage Beach,OSB,Osage Beach,United States,US
OSC,Wurtsmith AFB,OSC,Oscoda,United States,US
OSD,Ostersund,OSD,Ostersund,Sweden,SE
OSE,Omora,OSE,Omora,Papua New Guinea,PG
OSG,Ossima,OSG,Ossima,Papua New Guinea,PG
OSH,Wittman Field,OSH,Oshkosh,United States,US
OSI,Osijek,OSI,Osijek,Croatia,HR
OSK,Oskarshamn,OSK,Oskarshamn,Sweden,SE
OSL,"Oslo Arpt., Gardermoen",OSL,Oslo,Norway,NO
OSL,All Airports,OSL,Oslo,Norway,NO
OSM,Mosul,OSM,Mosul,Iraq,IQ
OSN,Osan AB,OSN,Osan,Korea,KR
OSO,Sulaimaniyah Intl.,OSO,Sulaimaniyah,Iraq,IQ
OSP,Redzikowo,OSP,Slupsk,Poland,PL
OSR,Mosnov,OSR,Ostrava,Czech Republic,CZ
OSS,Osh Intl. Arpt.,OSS,Osh,Kyrgyzstan,KG
OST,Ostend/Bruges Intl. Arpt.,OST,Ostend,Belgium,BE
OSU,Ohio State University,OSU,Columbus,United States,US
OSW,Orsk,OSW,Orsk,Russian Federation,RU
OSX,Attala County,OSX,Kosciusko,United States,US
OSY,Namsos,OSY,Namsos,Norway,NO
OSZ,Koszalin,OSZ,Koszalin,Poland,PL
OTA,Mota,OTA,Mota,Ethiopia,ET
OTC,Bol,OTC,Bol,Chad,TD
OTD,Contadora,OTD,Contadora,Panama,PA
OTG,Worthington,OTG,Worthington,United States,US
OTH,North Bend,OTH,North Bend,United States,US
OTI,Morotai Island,OTI,"Pitu, Morotai Island",Indonesia,ID
OTJ,Otjiwarongo,OTJ,Otjiwarongo,Namibia,NA
OTL,Boutilimit,OTL,Boutilimit,Mauritania,MR
OTM,Industrial,OTM,Ottumwa,United States,US
OTN,Green,OTN,Oaktown,United States,US
OTO,Vor,OTO,Otto,United States,US
OTP,Henri Coanda Intl.,BUH,Bucharest,Romania,RO
OTR,Coto 47,OTR,Coto 47,Costa Rica,CR
OTS,Anacortes,OTS,Anacortes,United States,US
OTU,Otu,OTU,Otu,Colombia,CO
OTV,Ontong Java,OTV,Ontong Java,Solomon Islands,SB
OTY,Oria,OTY,Oria,Papua New Guinea,PG
OTZ,Kotzebue,OTZ,Kotzebue,United States,US
OUA,Ouagadougou,OUA,Ouagadougou,Burkina Faso,BF
OUD,Les Angades,OUD,Oujda,Morocco,MA
OUE,Ouesso,OUE,Ouesso,Congo,CG
OUG,Ouahigouya,OUG,Ouahigouya,Burkina Faso,BF
OUH,Oudtshoorn,OUH,Oudtshoorn,South Africa,ZA
OUI,Ban Houei,OUI,Ban Houei,Laos,LA
OUL,Oulu,OUL,Oulu,Finland,FI
OUM,Oum Hadjer,OUM,Oum Hadjer,Chad,TD
OUN,Max Westheimer,OUN,Norman,United States,US
OUR,Batouri,OUR,Batouri,Cameroon,CM
OUS,Ourinhos,OUS,Ourinhos,Brazil,BR
OUT,Bousso,OUT,Bousso,Chad,TD
OUU,Ouanga,OUU,Ouanga,Gabon,GA
OUZ,Zouerate,OUZ,Zouerate,Mauritania,MR
OVA,Bekily,OVA,Bekily,Madagascar,MG
OVB,Tolmachevo,OVB,Novosibirsk,Russian Federation,RU
OVD,Asturias,OVD,Oviedo/Aviles,Spain,ES
OVE,Oroville,OVE,Oroville,United States,US
OVG,Overberg,OVG,Overberg,South Africa,ZA
OVL,Ovalle,OVL,Ovalle,Chile,CL
OVR,Olavarria,OVR,Olavarria,Argentina,AR
OWA,Owatonna,OWA,Owatonna,United States,US
OWB,Daviess County,OWB,Owensboro,United States,US
OWD,Memorial,OWD,Norwood,United States,US
OWE,Owendo,OWE,Owendo,Gabon,GA
OWK,Central Maine Arpt. of Norridgewock,OWK,Norridgewock,United States,US
OXB,Osvaldo Vieira Intl.,OXB,Bissau,Guinea-bissau,GW
OXC,Waterbury-oxford,OXC,"Oxford, CT",United States,US
OXD,Miami University,OXD,Oxford,United States,US
OXF,Oxford,OXF,Oxford,United Kingdom,GB
OXO,Orientos,OXO,Orientos,Australia,AU
OXR,Ventura,OXR,Ventura,United States,US
OXY,Morney,OXY,Morney,Australia,AU
OYA,Goya,OYA,Goya,Argentina,AR
OYE,Oyem,OYE,Oyem,Gabon,GA
OYG,Moyo,OYG,Moyo,Uganda,UG
OYK,Oiapoque,OYK,Oiapoque,Brazil,BR
OYL,Moyale,OYL,Moyale,Kenya,KE
OYN,Ouyen,OYN,Ouyen,Australia,AU
OYP,St-Georges de lOyapock,OYP,St Georges de lOyapock,French Guiana,GF
OYS,Yosemite Ntl Park,OYS,Yosemite Ntl Park,United States,US
OZA,Ozona Municipal,OZA,Ozona,United States,US
OZC,Labo,OZC,Ozamis City,Philippines,PH
OZH,Zaporozhye,OZH,Zaporozhye,Ukraine,UA
OZI,Bobadilla,OZI,Bobadilla,Spain,ES
OZP,Moron,OZP,Moron,Spain,ES
OZR,Cairns AAF,OZR,Ozark,United States,US
OZU,Montilla,OZU,Montilla,Spain,ES
OZZ,Ouarzazate,OZZ,Ouarzazate,Morocco,MA
PAA,Pa-an,PAA,Pa-an,Myanmar,MM
PAB,Bilaspur,PAB,Bilaspur,India,IN
PAC,Paitilla-Marcos A. Gelabert,PAC,Panama City,Panama,PA
PAD,Paderborn/lippstadt,PAD,Paderborn,Germany,DE
PAE,Snohomish County,PAE,Everett,United States,US
PAF,Pakuba,PAF,Pakuba,Uganda,UG
PAG,Pagadian,PAG,Pagadian,Philippines,PH
PAH,Barkley Regional,PAH,"Paducah, KY",United States,US
PAI,Pailin,PAI,Pailin,Cambodia,KH
PAJ,Para Chinar,PAJ,Para Chinar,Pakistan,PK
PAK,Port Allen,PAK,Hanapepe,United States,US
PAL,Palanquero,PAL,Palanquero,Colombia,CO
PAM,Tyndall AFB,PAM,"Panama City, FL",United States,US
PAN,Pattani,PAN,Pattani,Thailand,TH
PAO,Palo Alto,PAO,Palo Alto,United States,US
PAP,Toussaint Louverture Intl.,PAP,Port Au Prince,Haiti,HT
PAQ,Municipal,PAQ,Palmer,United States,US
PAR,All Airports,PAR,Paris,France,FR
PAS,Paros,PAS,Paros,Greece,GR
PAT,Patna,PAT,Patna,India,IN
PAU,Pauk,PAU,Pauk,Myanmar,MM
PAV,Paulo Afonso,PAV,Paulo Afonso,Brazil,BR
PAW,Pambwa,PAW,Pambwa,Papua New Guinea,PG
PAX,Port De Paix,PAX,Port De Paix,Haiti,HT
PAY,Pamol,PAY,Pamol,Malaysia,MY
PAZ,Tajin,PAZ,Poza Rica,Mexico,MX
PBA,Point Barrow,PBA,Barrow,United States,US
PBB,Paranaiba,PBB,Paranaiba,Brazil,BR
PBC,Hermanos Serdan Intl.,PBC,Puebla Atlixco,Mexico,MX
PBD,Porbandar,PBD,Porbandar,India,IN
PBE,Puerto Berrio,PBE,Puerto Berrio,Colombia,CO
PBF,Grider Field,PBF,Pine Bluff,United States,US
PBG,Plattsburgh Intl.,PBG,Plattsburgh,United States,US
PBH,Paro,PBH,Paro,Bhutan,BT
PBI,Palm Beach Intl.,MIA,Miami,United States,US
PBJ,Paama,PBJ,Paama,Vanuatu,VU
PBK,Pack Creek,PBK,Pack Creek,United States,US
PBL,Puerto Cabello,PBL,Puerto Cabello,Venezuela,VE
PBM,Zanderij Intl,PBM,Paramaribo,Suriname,SR
PBM,All Airports,PBM,Paramaribo,Suriname,SR
PBN,Porto Amboim,PBN,Porto Amboim,Angola,AO
PBO,Paraburdoo,PBO,Paraburdoo,Australia,AU
PBP,Punta Islita,PBP,Punta Islita,Costa Rica,CR
PBQ,Pimenta Bueno,PBQ,Pimenta Bueno,Brazil,BR
PBR,Puerto Barrios,PBR,Puerto Barrios,Guatemala,GT
PBS,Patong Beach,PBS,Patong Beach,Thailand,TH
PBT,Puerto Leda,PBT,Puerto Leda,Paraguay,PY
PBU,Putao,PBU,Putao,Myanmar,MM
PBV,Porto Dos Gauchos,PBV,Porto Dos Gauchos,Brazil,BR
PBW,Palibelo,PBW,Palibelo,Indonesia,ID
PBX,Porto Alegre Do Norte,PBX,Porto Alegre Do Norte,Brazil,BR
PBY,Hamilton/Proserpine,PBY,Peppers Palm Bay,Australia,AU
PBZ,Plettenberg Bay,PBZ,Plettenberg Bay,South Africa,ZA
PCA,Portage Creek,PCA,Portage Creek,United States,US
PCB,Pondok Cabe,PCB,Jakarta,Indonesia,ID
PCC,Puerto Rico,PCC,Puerto Rico,Colombia,CO
PCD,Municipal,PCD,Prairie Du Chien,United States,US
PCE,Painter Creek,PCE,Painter Creek,United States,US
PCG,Paso Caballos,PCG,Paso Caballos,Guatemala,GT
PCH,Palacios,PCH,Palacios,Honduras,HN
PCJ,Puerto La Victoria,PCJ,Puerto La Victoria,Paraguay,PY
PCK,Porcupine Creek,PCK,Porcupine Creek,United States,US
PCL,Captain Rolden Intl. Arpt.,PCL,Pucallpa,Peru,PE
PCM,Playa Del Carmen,PCM,Playa Del Carmen,Mexico,MX
PCN,Koromiko,PCN,Picton,New Zealand,NZ
PCO,Punta Colorada,PCO,Punta Colorada,Mexico,MX
PCP,Principe,PCP,Principe,Sao Tome and Principe,ST
PCQ,Bounneua,PCQ,Phongsaly,Laos,LA
PCR,Puerto Carreno,PCR,Puerto Carreno,Colombia,CO
PCS,Picos,PCS,Picos,Brazil,BR
PCT,Princeton,PCT,Princeton,United States,US
PCU,Pearl River County,PCU,Picayune,United States,US
PCV,Punta Chivato,PCV,Punta Chivato,Mexico,MX
PDA,Puerto Inirida,PDA,Puerto Inirida,Colombia,CO
PDB,Pedro Bay,PDB,Pedro Bay,United States,US
PDC,Mueo,PDC,Mueo,New Caledonia,NC
PDD,Ponta de Ouro,PDD,Ponta de Ouro,Mozambique,MZ
PDE,Pandie Pandie,PDE,Pandie Pandie,Australia,AU
PDF,Prado,PDF,Prado,Brazil,BR
PDG,Minangkabau Intl. Arpt.,PDG,Padang,Indonesia,ID
PDI,Pindiu,PDI,Pindiu,Papua New Guinea,PG
PDK,Dekalb-Peachtree,PDK,"Atlanta, GA",United States,US
PDL,Nordela,PDL,"Ponta Delgada, Azores",Portugal,PT
PDN,Parndana,PDN,Parndana,Australia,AU
PDO,Pendopo,PDO,Pendopo,Indonesia,ID
PDP,Capitan Corbeta CA Curbelo Intl. Arpt.,PDP,Maldonado,Uruguay,UY
PDS,Piedras Negras,PDS,Piedras Negras,Mexico,MX
PDT,Pendleton,PDT,Pendleton,United States,US
PDU,Paysandu,PDU,Paysandu,Uruguay,UY
PDV,Plovdiv,PDV,Plovdiv,Bulgaria,BG
PDX,Portland Intl.,PDX,"Portland, OR",United States,US
PDZ,Pedernales,PDZ,Pedernales,Venezuela,VE
PEA,Penneshaw,PEA,Penneshaw,Australia,AU
PEB,Pebane,PEB,Pebane,Mozambique,MZ
PEC,Pelican SPB,PEC,Pelican,United States,US
PED,Pardubice,PED,Pardubice,Czech Republic,CZ
PEE,Perm,PEE,Perm,Russian Federation,RU
PEF,Peenemuende,PEF,Peenemuende,Germany,DE
PEG,Sant Egidio,PEG,Perugia,Italy,IT
PEH,Pehuajo,PEH,Pehuajo,Argentina,AR
PEI,Matecana,PEI,Pereira,Colombia,CO
PEJ,Peschiei,PEJ,Peschiei,Italy,IT
PEK,Beijing Capital Int.,BJS,Beijing,China,CN
PEL,Pelaneng,PEL,Pelaneng,Lesotho,LS
PEM,Puerto Maldonado,PEM,Puerto Maldonado,Peru,PE
PEN,Penang Intl.,PEN,Penang,Malaysia,MY
PEP,Peppimenarti,PEP,Peppimenarti,Australia,AU
