airportCode,airportName,cityCode,cityName,countryName,countryCode
0A7,Hendersonville Arpt.,0A7,Hendersonville,United States,US
AAA,AnaaTest,AAA,Anaa,French Polynesia,PF
AAB,Arrabury,AAB,Arrabury,Australia,AU
AAC,Al Arish Intl. Arpt.,AAC,Al Arish,Egypt,EG
AAD,Ad-Dabbah,AAD,Ad-Dabbah,Sudan,SD
AAE,Les Salines,AAE,Annaba,Algeria,DZ
AAF,Municipal,AAF,Apalachicola,United States,US
AAG,Arapoti,AAG,Arapoti,Brazil,BR
AAH,Aachen/Merzbruck,AAH,Aachen,Germany,DE
AAI,Arraias,AAI,Arraias,Brazil,BR
AAJ,Cayana Airstrip,AAJ,Awaradam,Suriname,SR
AAK,Aranuka,AAK,Aranuka,Kiribati,KI
AAL,Aalborg,AAL,Aalborg,Denmark,DK
AAM,Mala Mala,AAM,Mala Mala,South Africa,ZA
AAN,Al Ain,AAN,Al Ain,United Arab Emirates,AE
AAO,Anaco,AAO,Anaco,Venezuela,VE
AAP,APT Pranoto Airport,SRI,Samarinda,Indonesia,ID
AAQ,Anapa,AAQ,Anapa,Russian Federation,RU
AAR,Aarhus Arpt.,AAR,Aarhus,Denmark,DK
AAS,Apalapsili,AAS,Apalapsili,Indonesia,ID
AAT,Altay,AAT,Altay,China,CN
AAU,Asau,AAU,Asau,Samoa,WS
AAV,Allah Valley,AAV,Surallah,Philippines,PH
AAW,Abbottabad,AAW,Abbottabad,Pakistan,PK
AAX,Araxa,AAX,Araxa,Brazil,BR
AAY,Al Ghaydah,AAY,Al Ghaydah,Yemen,YE
AAZ,Quetzaltenango Airport,AAZ,Quetzaltenango,Guatemala,GT
ABA,Abakan,ABA,Abakan,Russian Federation,RU
ABB,Asaba International Airport,ABB,Asaba,Nigeria,NG
ABC,Los Llanos,ABC,Albacete,Spain,ES
ABD,Abadan,ABD,Abadan,Iran,IR
ABE,Lehigh Valley Intl.,ABE,Allentown,United States,US
ABF,Abaiang,ABF,Abaiang,Kiribati,KI
ABG,Abingdon,ABG,Abingdon,Australia,AU
ABH,Alpha,ABH,Alpha,Australia,AU
ABI,Municipal,ABI,Abilene,United States,US
ABJ,Felix Houphouet Boigny,ABJ,Abidjan,Cote D'Ivoire,CI
ABK,Kabri Dar,ABK,Kabri Dar,Ethiopia,ET
ABL,Ambler,ABL,Ambler,United States,US
ABM,Bamaga Injinoo,ABM,"Bamaga, Queensland",Australia,AU
ABN,Albina,ABN,Albina,Suriname,SR
ABO,Aboisso,ABO,Aboisso,Cote D'Ivoire,CI
ABP,Atkamba,ABP,Atkamba,Papua New Guinea,PG
ABQ,Albuquerque Intl.,ABQ,Albuquerque,United States,US
ABR,Municipal,ABR,Aberdeen,United States,US
ABS,Abu Simbel,ABS,Abu Simbel,Egypt,EG
ABT,Al-Aqiq,ABT,Al-Baha,Saudi Arabia,SA
ABU,Atambua,ABU,Atambua,Indonesia,ID
ABV,Nnamdi Azikiwe Intl. Arpt.,ABV,Abuja,Nigeria,NG
ABW,Abau,ABW,Abau,Papua New Guinea,PG
ABX,Albury,ABX,Albury,Australia,AU
ABY,Dougherty County,ABY,Albany,United States,US
ABZ,Dyce,ABZ,Aberdeen,"Scotland, United Kingdom",GB
ACA,General Juan N. Alvarez Intl.,ACA,Acapulco,Mexico,MX
ACB,Antrim County,ACB,Bellaire,United States,US
ACC,Kotoka,ACC,Accra,Ghana,GH
ACD,Acandi,ACD,Acandi,Colombia,CO
ACE,Lanzarote,ACE,Arrecife,Spain,ES
ACH,Altenrhein,ACH,Altenrhein,Switzerland,CH
ACI,The Blaye,ACI,Alderney,United Kingdom,GB
ACJ,Anuradhapura,ACJ,Anuradhapura,Sri Lanka,LK
ACK,Nantucket Memorial,ACK,Nantucket,United States,US
ACL,Aguaclara,ACL,Aguaclara,Colombia,CO
ACM,Arica,ACM,Arica,Colombia,CO
ACN,Intl.,ACN,Ciudad Acuna,Mexico,MX
ACO,Ascona,ACO,Ascona,Switzerland,CH
ACP,Sahand,ACP,Sahand,Iran,IR
ACR,Araracuara,ACR,Araracuara,Colombia,CO
ACS,Achinsk,ACS,Achinsk,Russian Federation,RU
ACT,Municipal,ACT,Waco,United States,US
ACU,Achutupo,ACU,Achutupo,Panama,PA
ACV,Arcata,ACV,Arcata,United States,US
ACX,Xingyi,ACX,Xingyi,China,CN
ACY,Atlantic City Intl,ACY,Atlantic City,United States,US
ACZ,Zabol A/P,ACZ,Zabol,Iran,IR
ADA,Adana,ADA,Adana,Turkey,TR
ADB,Adnan Menderes,ADB,Izmir,Turkey,TR
ADC,Andakombe,ADC,Andakombe,Papua New Guinea,PG
ADD,Bole Intl.,ADD,Addis Ababa,Ethiopia,ET
ADE,Intl.,ADE,Aden,Yemen,YE
ADF,Adiyaman,ADF,Adiyaman,Turkey,TR
ADG,Lenawee County,ADG,Adrian,United States,US
ADH,Aldan,ADH,Aldan,Russian Federation,RU
ADI,Arandis,ADI,Arandis,Namibia,NA
ADJ,Marka Intl. Arpt.,AMM,Amman,Jordan,JO
ADK,Adak Island Ns,ADK,Adak Island,United States,US
ADL,Adelaide Intl. Arpt.,ADL,Adelaide,Australia,AU
ADM,Ardmore Municipal Arpt,ADM,Ardmore,United States,US
ADN,Andes,ADN,Andes,Colombia,CO
ADO,Andamooka,ADO,Andamooka,Australia,AU
ADP,Ampara,ADP,Ampara,Sri Lanka,LK
ADQ,Kodiak Arpt.,ADQ,Kodiak,United States,US
ADR,Andrews,ADR,Andrews,United States,US
ADS,Addison Arpt.,DFW,Dallas,United States,US
ADU,Ardabil,ADU,Ardabil,Iran,IR
ADV,Andover,ADV,Andover,United Kingdom,GB
ADW,Andrews AFB,ADW,Camp Springs,United States,US
ADX,Leuchars,ADX,St Andrews,United Kingdom,GB
ADY,Alldays,ADY,Alldays,South Africa,ZA
ADZ,San Andres Island,ADZ,San Andres Island,Colombia,CO
AEA,Abemama Atoll,AEA,Abemama Atoll,Kiribati,KI
AEB,Baise Bama Airport ,AEB,Baise Bama,China,CN
AED,Aleneva,AED,Aleneva,United States,US
AEG,Aek Godang,AEG,Aek Godang,Indonesia,ID
AEH,Abecher,AEH,Abecher,Chad,TD
AEK,Aseki,AEK,Aseki,Papua New Guinea,PG
AEL,Albert Lea,AEL,Albert Lea,United States,US
AEO,Aioun El Atrouss,AEO,Aioun El Atrouss,Mauritania,MR
AEP,Arpt. Jorge Newbery,BUE,Buenos Aires,Argentina,AR
AER,Adler/Sochi,AER,Adler/Sochi,Russian Federation,RU
AES,Vigra,AES,Aalesund,Norway,NO
AET,Allakaket,AET,Allakaket,United States,US
AEU,Abu Musa,AEU,Abu Musa,Iran,IR
AEX,Alexandria Intl.,AEX,"Alexandria, LA",United States,US
AEY,Akureyri,AEY,Akureyri,Iceland,IS
AFA,San Rafael,AFA,San Rafael,Argentina,AR
AFD,Port Alfred,AFD,Port Alfred,South Africa,ZA
AFF,USAF Academy Airstrip,AFF,Colorado Springs,United States,US
AFI,Amalfi,AFI,Amalfi,Colombia,CO
AFK,Kondavattavan Tank,AFK,Ampara,Sri Lanka,LK
AFL,Alta Floresta,AFL,Alta Floresta,Brazil,BR
AFN,Municipal,AFN,Jaffrey,United States,US
AFO,Municipal,AFO,Afton,United States,US
AFR,Afore,AFR,Afore,Papua New Guinea,PG
AFS,Zarafshan,AFS,Zarafshan,Uzbekistan,UZ
AFT,Afutara Aerodrome,AFT,Afutara,Solomon Islands,SB
AFW,Fort Worth Alliance,AFW,"Fort Worth, TX",United States,US
AFY,Afyon,AFY,Afyon,Turkey,TR
AFZ,Sabzevar,AFZ,Sabzevar,Iran,IR
AGA,Agadir Almassira,AGA,Agadir,Morocco,MA
AGB,Augsburg - Muehlhausen,AGB,Munich,Germany,DE
AGC,Allegheny County,AGC,Pittsburgh,United States,US
AGD,Anggi,AGD,Anggi,Indonesia,ID
AGE,Flugplatz,AGE,Wangerooge,Germany,DE
AGF,La Garenne,AGF,Agen,France,FR
AGG,Angoram,AGG,Angoram,Papua New Guinea,PG
AGH,Angelholm,AGH,Angelholm/Helsingborg,Sweden,SE
AGI,Wageningen,AGI,Wageningen,Suriname,SR
AGJ,Aguni,AGJ,Aguni,Japan,JP
AGK,Kagua,AGK,Kagua,Papua New Guinea,PG
AGL,Wanigela,AGL,Wanigela,Papua New Guinea,PG
AGM,Tasiilaq,AGM,Tasiilaq,Greenland,GL
AGN,Angoon,AGN,Angoon,United States,US
AGO,Municipal,AGO,Magnolia,United States,US
AGP,Pablo Ruiz Picasso,AGP,Malaga,Spain,ES
AGQ,Agrinion,AGQ,Agrinion,Greece,GR
AGR,Kheria,AGR,Agra,India,IN
AGS,Bush Field,AGS,Augusta,United States,US
AGT,Alejo Garcia,AGT,Ciudad Del Este,Paraguay,PY
AGU,Aguascalients,AGU,Aguascalientes,Mexico,MX
AGV,Acarigua,AGV,Acarigua,Venezuela,VE
AGW,Agnew,AGW,Agnew,Australia,AU
AGX,Agatti Island,AGX,Agatti Island,India,IN
AGY,Argyle Downs,AGY,Argyle Downs,Australia,AU
AGZ,Aggeneys,AGZ,Aggeneys,South Africa,ZA
AHA,Naha Air Force Base,AHA,Okinawa,Japan,JP
AHB,Abha,AHB,Abha,Saudi Arabia,SA
AHC,Amedee AAF,AHC,Herlong,United States,US
AHD,Downtown,AHD,Ardmore,United States,US
AHE,Ahe Arpt.,AHE,Ahe,French Polynesia,PF
AHF,Municipal,AHF,Arapahoe,United States,US
AHH,Municipal,AHH,Amery,United States,US
AHI,Amahai,AHI,Amahai,Indonesia,ID
AHL,Aishalton,AHL,Aishalton,Guyana,GY
AHN,Athens,AHN,Athens,United States,US
AHO,Fertilia,AHO,Alghero,Italy,IT
AHS,Ahuas,AHS,Ahuas,Honduras,HN
AHT,Amchitka,AHT,Amchitka,United States,US
AHU,Charif Al Idrissi,AHU,Al Hoceima,Morocco,MA
AHY,Ambatolahy,AHY,Ambatolahy,Madagascar,MG
AHZ,Alpe D Huez,AHZ,Alpe D Huez,France,FR
AIA,Alliance,AIA,Alliance,United States,US
AIB,Anita Bay,AIB,Anita Bay,United States,US
AIC,Airok,AIC,"Airok, Ailinglaplap",Marshall Islands,MH
AID,Municipal,AID,Anderson,United States,US
AIE,Aiome,AIE,Aiome,Papua New Guinea,PG
AIF,Assis,AIF,Assis,Brazil,BR
AIG,Yalinga,AIG,Yalinga,Central African Republic,CF
AIH,Aiambak,AIH,Aiambak,Papua New Guinea,PG
AII,Alisabieh,AII,Alisabieh,Djibouti,DJ
AIK,Municipal,AIK,Aiken,United States,US
AIL,Ailigandi,AIL,Ailigandi,Panama,PA
AIM,Ailuk Island,AIM,Ailuk Island,Marshall Islands,MH
AIN,Wainwright,AIN,Wainwright,United States,US
AIO,Municipal,AIO,Atlantic,United States,US
AIP,Adampur Airport,AIP,Adampur,India,IN
AIS,Arorae Island,AIS,Arorae Island,Kiribati,KI
AIT,Aitutaki,AIT,Aitutaki,Cook Islands,CK
AIU,Atiu Island,AIU,Atiu Island,Cook Islands,CK
AIV,George Downer,AIV,Aliceville,United States,US
AIW,Ai-ais,AIW,Ai-ais,Namibia,NA
AIY,Bader Field,AIY,Atlantic City,United States,US
AIZ,Lee C Fine Memorial,AIZ,Kaiser/Lake Ozark,United States,US
AJA,Campo Dell Oro,AJA,Ajaccio,France,FR
AJF,Jouf,AJF,Sakaka Al Jouf,Saudi Arabia,SA
AJI,AÄŸri,AJI,Agri,Turkey,TR
AJJ,Akjoujt,AJJ,Akjoujt,Mauritania,MR
AJK,Araak,AJK,Araak,Iran,IR
AJL,Aizawl,AJL,Aizawl,India,IN
AJN,Ouani,AJN,Anjouan,Comoros,KM
AJO,Aljouf,AJO,Aljouf,Yemen,YE
AJR,Arvidsjaur,AJR,Arvidsjaur,Sweden,SE
AJS,Abreojos,AJS,Abreojos,Mexico,MX
AJU,Santa Maria,AJU,Aracaju,Brazil,BR
AJY,Agades,AJY,Agades,Niger,NE
AKA,Ankang,AKA,Ankang,China,CN
AKB,Atka,AKB,Atka,United States,US
AKC,Fulton Intl.,AKC,Akron/Canton,United States,US
AKD,Akola,AKD,Akola,India,IN
AKE,Akieni,AKE,Akieni,Gabon,GA
AKF,Kufrah,AKF,Kufrah,Libya,LY
AKG,Anguganak,AKG,Anguganak,Papua New Guinea,PG
AKH,Prince Sultan Air Base,AKH,Al Kharj,Saudi Arabia,SA
AKI,Akiak,AKI,Akiak,United States,US
AKJ,Asahikawa,AKJ,Asahikawa,Japan,JP
AKK,Akhiok SPB,AKK,Akhiok,United States,US
AKL,Auckland Intl.,AKL,Auckland,New Zealand,NZ
AKM,Zakouma,AKM,Zakouma,Chad,TD
AKN,King Salmon,AKN,King Salmon,United States,US
AKO,Colorado Plains Regional Arpt.,AKO,"Akron, CO",United States,US
AKP,Anaktuvuk,AKP,Anaktuvuk,United States,US
AKQ,Gunung Batin,AKQ,Astraksetra,Indonesia,ID
AKR,Akure,AKR,Akure,Nigeria,NG
AKT,Akrotiri Raf,AKT,Akrotiri,Cyprus,CY
AKU,Aksu,AKU,Aksu,China,CN
AKV,Akulivik,AKV,Akulivik,Canada,CA
AKW,Aghajari,AKW,Aghajari,Iran,IR
AKX,Aktyubinsk,AKX,Aktyubinsk,Kazakhstan,KZ
AKY,Civil,AKY,Sittwe,Myanmar,MM
ALA,Almaty,ALA,Almaty,Kazakhstan,KZ
ALB,Albany Intl.,ALB,Albany,United States,US
ALC,Alicante El Altet,ALC,Alicante,Spain,ES
ALD,Alerta,ALD,Alerta,Peru,PE
ALE,Alpine,ALE,Alpine,United States,US
ALF,Alta,ALF,Alta,Norway,NO
ALG,Houari Boumediene,ALG,Algiers,Algeria,DZ
ALH,Albany,ALH,Albany,Australia,AU
ALI,Intl.,ALI,Alice,United States,US
ALJ,Kortdoorn,ALJ,Alexander Bay,South Africa,ZA
ALK,Asela,ALK,Asela,Ethiopia,ET
ALL,Albenga,ALL,Albenga,Italy,IT
ALM,Municipal,ALM,Alamogordo,United States,US
ALN,Alton,ALN,Alton,United States,US
ALO,Waterloo,ALO,Waterloo,United States,US
ALP,Nejrab,ALP,Aleppo,Syria,SY
ALQ,Federal,ALQ,Alegrete,Brazil,BR
ALR,Alexandra,ALR,Alexandra,New Zealand,NZ
ALS,Municipal,ALS,Alamosa,United States,US
ALT,Alenquer,ALT,Alenquer,Brazil,BR
ALU,Alula,ALU,Alula,Somalia,SO
ALV,Andorra La Vella H/P,ALV,Andorra La Vella,Andorra,AD
ALW,Walla Walla,ALW,Walla Walla,United States,US
ALX,Thomas C Russell Fld,ALX,Alexander City,United States,US
ALY,El Nohza,ALY,Alexandria,Egypt,EG
ALY,All Airports,ALY,Alexandria,Egypt,EG
ALZ,Alitak SPB,ALZ,Alitak,United States,US
AMA,Rick Husband Amarillo Intl.,AMA,"Amarillo, TX",United States,US
AMB,Ambilobe,AMB,Ambilobe,Madagascar,MG
AMC,Am Timan,AMC,Am Timan,Chad,TD
AMD,Ahmedabad,AMD,Ahmedabad,India,IN
AME,Alto Molocue,AME,Alto Molocue,Mozambique,MZ
AMF,Ama,AMF,Ama,Papua New Guinea,PG
AMG,Amboin,AMG,Amboin,Papua New Guinea,PG
AMH,Arba Mintch,AMH,Arba Mintch,Ethiopia,ET
AMI,Selaparang,AMI,Mataram,Indonesia,ID
AMJ,Almenara,AMJ,Almenara,Brazil,BR
AMK,Animas Airpark,AMK,Durango,United States,US
AML,Puerto Armuellas,AML,Puerto Armuellas,Panama,PA
AMM,Queen Alia Intl,AMM,Amman,Jordan,JO
AMM,All Airports,AMM,Amman,Jordan,JO
AMN,Gratiot Community,AMN,Alma,United States,US
AMO,Mao,AMO,Mao,Chad,TD
AMP,Ampanihy,AMP,Ampanihy,Madagascar,MG
AMQ,Pattimura,AMQ,Ambon,Indonesia,ID
AMR,Arno,AMR,Arno,Marshall Islands,MH
AMS,Amsterdam-Schiphol,AMS,Amsterdam,Netherlands,NL
AMT,Amata,AMT,Amata,Australia,AU
AMU,Amanab,AMU,Amanab,Papua New Guinea,PG
AMV,Amderma,AMV,Amderma,Russian Federation,RU
AMW,Ames,AMW,Ames,United States,US
AMX,Ammaroo,AMX,Ammaroo,Australia,AU
AMY,Ambatomainty,AMY,Ambatomainty,Madagascar,MG
AMZ,Ardmore,AMZ,Ardmore,New Zealand,NZ
ANA,Orange County Steel Salvage Heliport,ANA,Anaheim,United States,US
ANB,Anniston Metropolitan,ANB,Anniston,United States,US
ANC,Ted Stevens Anchorage Intl. Arpt.,ANC,Anchorage,United States,US
AND,Anderson,AND,Anderson,United States,US
ANE,Marce,ANE,Angers,France,FR
ANF,Cerro Moreno,ANF,Antofagasta,Chile,CL
ANG,Brie-Champniers,ANG,Angouleme,France,FR
ANH,Anuha Island Resort,ANH,Anuha Island Resort,Solomon Islands,SB
ANI,Aniak,ANI,Aniak,United States,US
ANJ,Zanaga,ANJ,Zanaga,Congo,CG
ANK,Etimesgut,ANK,Ankara,Turkey,TR
ANL,Andulo,ANL,Andulo,Angola,AO
ANM,Antsirabato,ANM,Antalaha,Madagascar,MG
ANN,Annette Island,ANN,Annette Island,United States,US
ANO,Angoche,ANO,Angoche,Mozambique,MZ
ANP,Lee,ANP,Annapolis,United States,US
ANQ,Tri-State Steuben Cty,ANQ,Angola,United States,US
ANR,Deurne,ANR,Antwerp,Belgium,BE
ANS,Andahuaylas,ANS,Andahuaylas,Peru,PE
ANT,St Anton,ANT,SAINT ANTON,AUSTRIA,AT
ANU,V. C. Bird Intl,ANU,Antigua,Antigua And Barbuda,AG
ANV,Anvik,ANV,Anvik,United States,US
ANW,Ainsworth,ANW,Ainsworth,United States,US
ANX,Andenes,ANX,Andenes,Norway,NO
ANY,Anthony,ANY,Anthony,United States,US
ANZ,Angus Downs,ANZ,Angus Downs,Australia,AU
AOA,Aroa,AOA,Aroa,Papua New Guinea,PG
AOB,Annanberg,AOB,Annanberg,Papua New Guinea,PG
AOC,Altenburg Nobitz,AOC,Altenburg,Germany,DE
AOD,Abou Deia,AOD,Abou Deia,Chad,TD
AOE,Anadolu University,AOE,Eskisehir,Turkey,TR
AOG,Anshan,AOG,Anshan,China,CN
AOH,Allen County,AOH,Lima,United States,US
AOI,Falconara,AOI,Ancona,Italy,IT
AOJ,Aomori,AOJ,Aomori,Japan,JP
AOK,Karpathos,AOK,Karpathos,Greece,GR
AOL,Paso De Los Libres,AOL,Paso De Los Libres,Argentina,AR
AON,Arona,AON,Arona,Papua New Guinea,PG
AOO,Martinsburg,AOO,Martinsburg,United States,US
AOR,Alor Setar,AOR,Alor Setar,Malaysia,MY
AOS,Amook,AOS,Amook,United States,US
AOT,AOSTA,AOT,AOSTA,ITALY,IT
AOU,Attopeu,AOU,Attopeu,Laos,LA
APA,Arapahoe Co,DEN,Denver,United States,US
APB,Apolo,APB,Apolo,Bolivia,BO
APC,Napa County,APC,Napa,United States,US
APE,San Juan Aposento,APE,San Juan Aposento,Peru,PE
APF,Naples,APF,Naples,United States,US
APG,Phillips AAF,APG,Aberdeen,United States,US
APH,Camp A P Hill,APH,Bowling Green,United States,US
API,Apiay,API,Apiay,Colombia,CO
APK,Apataki,APK,Apataki,French Polynesia,PF
APL,Nampula,APL,Nampula,Mozambique,MZ
APN,Alpena County Regional,APN,Alpena,United States,US
APO,Apartado,APO,Apartado,Colombia,CO
APP,Asapa,APP,Asapa,Papua New Guinea,PG
APQ,Arapiraca,APQ,Arapiraca,Brazil,BR
APR,April River,APR,April River,Papua New Guinea,PG
APS,Anapolis,APS,Anapolis,Brazil,BR
APT,Marion County,APT,Jasper,United States,US
APU,Apucarana,APU,Apucarana,Brazil,BR
APV,Apple Valley,APV,Apple Valley,United States,US
APW,Faleolo,APW,Apia,Samoa,WS
APX,Arapongas,APX,Arapongas,Brazil,BR
APY,Alto Parnaiba,APY,Alto Parnaiba,Brazil,BR
APZ,Zapala,APZ,Zapala,Argentina,AR
AQA,Araraquara,AQA,Araraquara,Brazil,BR
AQB,Quiche Arpt.,AQB,Quiche,Guatemala,GT
AQG,Anqing,AQG,Anqing,China,CN
AQI,Qaisumah,AQI,Qaisumah,Saudi Arabia,SA
AQJ,King Hussein Intl,AQJ,Aqaba,Jordan,JO
AQM,Ariquemes,AQM,Ariquemes,Brazil,BR
AQP,Rodriguez Ballon,AQP,Arequipa,Peru,PE
AQS,Saqani,AQS,Saqani,Fiji,FJ
AQY,Alyeska,AQY,Alyeska,United States,US
ARA,Acadiana Regional,ARA,New Iberia,United States,US
ARB,Municipal,ARB,"Ann Arbor, MI",United States,US
ARC,Arctic Village,ARC,Arctic Village,United States,US
ARD,Alor Island,ARD,Alor Island,Indonesia,ID
ARE,Arecibo,ARE,Arecibo,Puerto Rico,PR
ARF,Acaricuara,ARF,Acaricuara,Colombia,CO
ARG,Walnut Ridge,ARG,Walnut Ridge,United States,US
ARH,Arkhangelsk,ARH,Arkhangelsk,Russian Federation,RU
ARI,Chacalluta,ARI,Arica,Chile,CL
ARJ,Arso,ARJ,Arso,Indonesia,ID
ARK,Arusha,ARK,Arusha,Tanzania,TZ
ARL,Arly,ARL,Arly,Burkina Faso,BF
ARM,Armidale,ARM,Armidale,Australia,AU
ARN,Arlanda,STO,Stockholm,Sweden,SE
ARO,Arboletas,ARO,Arboletas,Colombia,CO
ARP,Aragip,ARP,Aragip,Papua New Guinea,PG
ARQ,Arauquita,ARQ,Arauquita,Colombia,CO
ARR,Alto Rio Senguerr,ARR,Alto Rio Senguerr,Argentina,AR
ARS,Aragarcas,ARS,Aragarcas,Brazil,BR
ART,Watertown,ART,Watertown,United States,US
ARU,Aracatuba,ARU,Aracatuba,Brazil,BR
ARV,Noble F. Lee,ARV,Minocqua,United States,US
ARW,Arad,ARW,Arad,Romania,RO
ARX,Asbury Park,ARX,"Neptune, NJ",United States,US
ARY,Ararat,ARY,Ararat,Australia,AU
ASA,Assab Intl.,ASA,Assab,Eritrea,ER
ASB,Ashgabat,ASB,Ashgabat,Turkmenistan,TM
ASC,Ascension,ASC,Ascension,Bolivia,BO
ASD,Andros Town,ASD,Andros Town,Bahamas,BS
ASE,Aspen,ASE,Aspen,United States,US
ASF,Astrakhan,ASF,Astrakhan,Russian Federation,RU
ASG,Ashburton,ASG,Ashburton,New Zealand,NZ
ASH,Boire Field,ASH,"Nashua, NH",United States,US
ASI,Wideawake Field,ASI,"Georgetown, Ascension Island",St. Helena,SH
ASJ,Amami O Shima,ASJ,Amami O Shima,Japan,JP
ASK,Yamoussoukro,ASK,Yamoussoukro,Cote D'Ivoire,CI
ASM,Yohannes IV,ASM,Asmara,Eritrea,ER
ASN,Talladega,ASN,Talladega,United States,US
ASO,Asosa,ASO,Asosa,Ethiopia,ET
ASP,Alice Springs,ASP,Alice Springs,Australia,AU
ASQ,Austin,ASQ,Austin,United States,US
ASR,Erkilet Intl. Arpt.,ASR,Kayseri,Turkey,TR
AST,Astoria,AST,Astoria,United States,US
ASU,Silvio Pettirossi,ASU,Asuncion,Paraguay,PY
ASV,Amboseli,ASV,Amboseli,Kenya,KE
ASW,Aswan,ASW,Aswan,Egypt,EG
ASX,Ashland,ASX,Ashland,United States,US
ASY,Ashley,ASY,Ashley,United States,US
ATA,Anta,ATA,Anta,Peru,PE
ATB,Atbara,ATB,Atbara,Sudan,SD
ATD,Atoifi,ATD,Atoifi,Solomon Islands,SB
ATE,Antlers,ATE,Antlers,United States,US
ATF,Chachoan,ATF,Ambato,Ecuador,EC
ATG,Attock,ATG,Attock,Pakistan,PK
ATH,Eleftherios Venizelos,ATH,Athens,Greece,GR
ATI,Artigas,ATI,Artigas,Uruguay,UY
ATJ,Antsirabe,ATJ,Antsirabe,Madagascar,MG
ATK,Atqasuk,ATK,Atqasuk,United States,US
ATL,Hartsfield-jackson Atlanta Intl.,ATL,"Atlanta, GA",United States,US
ATL,All Airports,ATL,"Atlanta, GA",United States,US
ATM,Altamira,ATM,Altamira,Brazil,BR
ATN,Namatanai,ATN,Namatanai,Papua New Guinea,PG
ATO,Ohio University,ATO,Athens,United States,US
ATP,Airstrip,ATP,Aitape,Papua New Guinea,PG
ATQ,Raja Sansi,ATQ,Amritsar,India,IN
ATR,Mouakchott,ATR,Atar,Mauritania,MR
ATS,Artesia,ATS,Artesia,United States,US
ATT,Atmautluak,ATT,Atmautluak,United States,US
ATU,Casco Cove,ATU,Attu Island,United States,US
ATV,Ati,ATV,Ati,Chad,TD
ATW,Outagamie County,ATW,Appleton,United States,US
ATX,Atbasar,ATX,Atbasar,Kazakhstan,KZ
ATY,Watertown,ATY,Watertown,United States,US
ATZ,Assiut,ATZ,Assiut,Egypt,EG
AUA,Reina Beatrix,AUA,Aruba,Aruba,AW
AUB,Itauba,AUB,Itauba,Brazil,BR
AUC,Arauca,AUC,Arauca,Colombia,CO
AUD,Augustus Downs,AUD,Augustus Downs,Australia,AU
AUE,Abu Rudeis,AUE,Abu Rudeis,Egypt,EG
AUF,Auxerre Branches,AUF,Auxerre,France,FR
AUG,Augusta,AUG,Augusta,United States,US
AUH,Abu Dhabi Intl.,AUH,Abu Dhabi,United Arab Emirates,AE
AUI,Aua Island,AUI,Aua Island,Papua New Guinea,PG
AUJ,Ambunti,AUJ,Ambunti,Papua New Guinea,PG
AUK,Alakanuk,AUK,Alakanuk,United States,US
AUL,Aur Island,AUL,Aur Island,Marshall Islands,MH
AUM,Austin,AUM,Austin,United States,US
AUN,Auburn,AUN,Auburn,United States,US
AUO,Auburn-Opelika,AUO,Auburn,United States,US
AUP,Agaun,AUP,Agaun,Papua New Guinea,PG
AUQ,Atuona,AUQ,Atuona,French Polynesia,PF
AUR,Aurillac,AUR,Aurillac,France,FR
AUS,Austin-bergstrom Intl.,AUS,Austin,United States,US
AUT,Atauro,AUT,Atauro,Indonesia,ID
AUU,Aurukun Mission,AUU,Aurukun Mission,Australia,AU
AUV,Aumo,AUV,Aumo,Papua New Guinea,PG
AUW,Municipal,AUW,Wausau,United States,US
AUX,Araguaina,AUX,Araguaina,Brazil,BR
AUY,Aneityum,AUY,Aneityum,Vanuatu,VU
AUZ,Municipal Arpt.,AUZ,Aurora,United States,US
AVA,An Shun/Huang Guo Shu,AVA,An Shun,China,CN
AVB,Aviano,AVB,Aviano,Italy,IT
AVF,Avoriaz,AVF,Avoriaz,France,FR
AVG,Auvergne,AVG,Auvergne,Australia,AU
AVI,Maximo Gomez,AVI,Ciego De Avila,Cuba,CU
AVK,Arvaikheer,AVK,Arvaikheer,Mongolia,MN
AVL,Asheville Regional Arpt.,AVL,Fletcher,United States,US
AVN,Avignon-Caumont,AVN,Avignon,France,FR
AVO,Municipal,AVO,Avon Park,United States,US
AVP,Wilkes-Barre/Scranton Intl. Arpt.,AVP,"Wilkes-Barre/Scranton, PA",United States,US
AVU,Avu Avu,AVU,Avu Avu,Solomon Islands,SB
AVV,Avalon,MEL,Melbourne,Australia,AU
AVW,MARANA REGIONAL AIRPORT,AVW,Marana,United states,US
AVX,Avalon Bay,AVX,Catalina Island,United States,US
AWA,Awassa,AWA,Awassa,Ethiopia,ET
AWB,Awaba,AWB,Awaba,Papua New Guinea,PG
AWD,Aniwa,AWD,Aniwa,Vanuatu,VU
AWE,Alowe,AWE,Alowe,Gabon,GA
AWH,Awareh,AWH,Awareh,Ethiopia,ET
AWK,Wake Island,AWK,Wake Island,US Minor Outlying Islands,UM
AWM,Municipal,AWM,West Memphis,United States,US
AWN,Alton Downs,AWN,Alton Downs,Australia,AU
AWP,Austral Downs,AWP,Austral Downs,Australia,AU
AWR,Awar,AWR,Awar,Papua New Guinea,PG
AWZ,Ahwaz,AWZ,Ahwaz,Iran,IR
AXA,Wallblake,AXA,Anguilla,Anguilla,AI
AXB,Alexandria Bay,AXB,Alexandria Bay,United States,US
AXC,Aramac,AXC,Aramac,Australia,AU
